p1-default__arch-01__r1	tie	challenger
p1-low__arch-05__r1	base	challenger
p1-low__ops-01__r1	tie	base
p0-medium__anchor-fin-1__r1	tie	challenger
p0-low__fin-05__r1	tie	base
p1-medium__anchor-arch-1__r1	tie	base
p1-default__fin-01__r1	tie	challenger
p0-low__fin-01__r1	tie	base
p2-default__anchor-arch-1__r1	base	challenger
p1-medium__ed-01__r1	tie	challenger
p1-medium__arch-01__r1	tie	base
p1-low__fin-01__r1	base	base
p2-default__sys-02__r1	base	base
p1-low__ops-03__r1	tie	base
p0-medium__pos-01__r1	tie	challenger
p1-medium__ops-03__r1	challenger	challenger
p1-low__legal-01__r1	base	base
p1-medium__ed-03__r1	base	base
