cal-01	challenger	challenger	p3-caveman	anchor-ops	1
cal-02	base	challenger	p4-caveman-prompt	legal-01	1
cal-03	base	challenger	p4-caveman-prompt	arch-05	1
cal-04	challenger	challenger	p3-caveman	anchor-sys	1
cal-05	challenger	base	p3-caveman	mkt-03	1
cal-06	challenger	challenger	p3-caveman	mkt-01	1
cal-07	base	challenger	p4-caveman-prompt	ed-03	1
cal-08	challenger	base	p3-caveman	arch-03	1
cal-09	tie	challenger	p3-caveman	sys-02	1
cal-10	tie	base	p4-caveman-prompt	anchor-legal	1
cal-11	challenger	challenger	p3-caveman	anchor-fin-1	1
cal-12	tie	challenger	p3-caveman	legal-01	1
cal-13	challenger	challenger	p3-caveman	ops-03	1
cal-14	tie	base	p4-caveman-prompt	strat-03	1
cal-15	tie	challenger	p3-caveman	fin-05	1
cal-16	base	base	p4-caveman-prompt	ed-01	1
cal-17	challenger	challenger	p4-caveman-prompt	mkt-01	1
cal-18	tie	challenger	p3-caveman	pos-03	1
cal-19	challenger	base	p4-caveman-prompt	mkt-03	1
cal-20	tie	base	p4-caveman-prompt	arch-01	1
